article.type,cue.memory.cutoff,cue.memory.policy,cue.memory.total.recipients,education,gender,gender.original,initial.like,ncog1,ncog3,ncog4,ncog5,ncog6,ncog7,state,year.of.birth,cue.condition,policy,policy.size,female,male,age,age.legit,educ.low,Northeast,North.Central,South,West,region,time.on.article,PID.pre
lib_large_nocue,"about $1,000 a month",expand,"about 100,000",12th,female,female,approve slightly,slightly prefer complex problems,a moderate amount,"slightly prefer big, long-term projects",like a little,neither like nor dislike,relief and satisfaction to the same degree,PA,1982,no_cue,expand,large,TRUE,FALSE,28,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Northeast,128,Rep
lib_large_Demopp,about $500 a month,reduce,"about 100,000",B.A.,male,male,disapprove slightly,no preference,a lot,"slightly prefer big, long-term projects",neither like nor dislike,like a lot,somewhat more relieved than satisfied,CA,1963,Dem_opp,expand,large,FALSE,TRUE,47,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,65,Rep
con_slight_Demopp,"about $1,600 a month",neither,"about 100,000",some college,male,M,approve slightly,no preference,a lot,no preference,neither like nor dislike,like somewhat,somewhat more satisfied than relieved,VA,1959,Dem_opp,reduce,small,FALSE,TRUE,51,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,13,Dem
con_large_nocue,about $500 a month,reduce,about 1 million,some college,male,male,disapprove strongly,somewhat prefer simple problems,a moderate amount,"somewhat prefer small, daily projects",dislike a lot,neither like nor dislike,somewhat more satisfied than relieved,CA,1955,no_cue,reduce,large,FALSE,TRUE,55,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,252,Dem
lib_slight_Demopp,"about $2,200 a month",expand,"about 100,000",some college,male,male,approve strongly,no preference,a lot,no preference,neither like nor dislike,neither like nor dislike,relief and satisfaction to the same degree,CA,1981,Dem_opp,expand,small,FALSE,TRUE,29,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,126,Rep
con_slight_Demopp,"about $1,600 a month",neither,"about 500,000",NA,female,female,disapprove slightly,slightly prefer simple problems,a lot,"slightly prefer big, long-term projects",dislike somewhat,neither like nor dislike,slightly more satisfied than relieved,AL,1961,Dem_opp,reduce,small,TRUE,FALSE,49,TRUE,NA,FALSE,FALSE,TRUE,FALSE,South,27,Rep
con_slight_nocue,"about $1,000 a month",neither,about 1 million,some college,female,female,disapprove strongly,slightly prefer simple problems,a moderate amount,no preference,neither like nor dislike,neither like nor dislike,somewhat more relieved than satisfied,SD,1956,no_cue,reduce,small,TRUE,FALSE,54,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,190,Rep
lib_large_nocue,"about $2,200 a month",expand,"about 500,000",some college,male,male,disapprove strongly,no preference,a lot,"slightly prefer big, long-term projects",like a little,like somewhat,somewhat more satisfied than relieved,OH,1944,no_cue,expand,large,FALSE,TRUE,66,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,161,Rep
lib_slight_Demopp,"about $1,600 a month",expand,"about 500,000",B.A.,female,female,approve somewhat,somewhat prefer complex problems,a great deal,"slightly prefer big, long-term projects",like somewhat,like a lot,somewhat more satisfied than relieved,SC,1944,Dem_opp,expand,small,TRUE,FALSE,66,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,256,Rep
con_slight_nocue,"about $1,300 a month",reduce,"about 100,000",12th,female,female,disapprove strongly,slightly prefer complex problems,a great deal,"slightly prefer small, daily projects",dislike a little,like a lot,much more relieved than satisfied,VA,1950,no_cue,reduce,small,TRUE,FALSE,60,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,South,243,Rep
lib_slight_nocue,"about $2,200 a month",neither,"about 10,000",B.A.,female,female,disapprove slightly,slightly prefer simple problems,a moderate amount,"somewhat prefer small, daily projects",dislike somewhat,like a little,slightly more satisfied than relieved,TX,1957,no_cue,expand,small,TRUE,FALSE,53,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,224,Rep
con_slight_Demopp,"about $1,300 a month",reduce,"about 50,000",12th,female,female,disapprove slightly,slightly prefer simple problems,a moderate amount,"slightly prefer small, daily projects",neither like nor dislike,neither like nor dislike,relief and satisfaction to the same degree,PA,1952,Dem_opp,reduce,small,TRUE,FALSE,58,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Northeast,98,Rep
con_slight_Demopp,"about $1,300 a month",reduce,"about 50,000",some college,male,male,disapprove strongly,no preference,a moderate amount,no preference,like a little,like somewhat,relief and satisfaction to the same degree,AZ,1937,Dem_opp,reduce,small,FALSE,TRUE,73,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,147,Dem
lib_slight_Demopp,"about $1,600 a month",neither,about 1 million,B.A.,male,m,approve somewhat,slightly prefer simple problems,a little,no preference,dislike a little,neither like nor dislike,somewhat more satisfied than relieved,CA,1975,Dem_opp,expand,small,FALSE,TRUE,35,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,153,Dem
con_large_nocue,"about $1,300 a month",neither,"about 100,000",some college,male,Male,disapprove strongly,somewhat prefer complex problems,a great deal,"slightly prefer small, daily projects",like a lot,like a lot,much more satisfied than relieved,CA,1962,no_cue,reduce,large,FALSE,TRUE,48,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,292,Rep
lib_slight_Demopp,"about $2,200 a month",expand,NA,B.A.,male,Male,approve slightly,no preference,a moderate amount,no preference,neither like nor dislike,neither like nor dislike,somewhat more satisfied than relieved,PA,1948,Dem_opp,expand,small,FALSE,TRUE,62,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Northeast,122,Rep
