article.type,cue.memory.cutoff,cue.memory.policy,cue.memory.total.recipients,education,gender,gender.original,initial.like,ncog1,ncog3,ncog4,ncog5,ncog6,ncog7,state,year.of.birth,cue.condition,policy,policy.size,female,male,age,age.legit,educ.low,Northeast,North.Central,South,West,region,time.on.article,PID.pre
lib_large_nocue,"about $1,000 a month",reduce,"about 100,000",some college,female,Female,neither approve nor disapprove,somewhat prefer simple problems,a little,"slightly prefer big, long-term projects",dislike somewhat,neither like nor dislike,relief and satisfaction to the same degree,IL,1988,no_cue,expand,large,TRUE,FALSE,22,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,62,Dem
con_large_nocue,"about $1,300 a month",reduce,"about 500,000",12th,female,female,disapprove somewhat,slightly prefer simple problems,a lot,"slightly prefer big, long-term projects",dislike a little,like a little,somewhat more satisfied than relieved,TX,1988,no_cue,reduce,large,TRUE,FALSE,22,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,South,54,Dem
lib_large_nocue,"about $2,200 a month",expand,"about 100,000",NA,female,fwmale,approve somewhat,no preference,a moderate amount,"slightly prefer small, daily projects",dislike a little,neither like nor dislike,relief and satisfaction to the same degree,ME,1955,no_cue,expand,large,TRUE,FALSE,55,TRUE,NA,TRUE,FALSE,FALSE,FALSE,Northeast,253,Dem
lib_slight_Demopp,"about $1,300 a month",expand,"about 100,000",some college,female,female,approve strongly,no preference,a great deal,no preference,like a lot,like a lot,much more satisfied than relieved,CA,1957,Dem_opp,expand,small,TRUE,FALSE,53,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,194,Dem
con_large_nocue,about $500 a month,reduce,"about 10,000",NA,female,female,disapprove strongly,somewhat prefer complex problems,a great deal,"greatly prefer big, long-term projects",like a lot,like a lot,much more satisfied than relieved,MI,1970,no_cue,reduce,large,TRUE,FALSE,40,TRUE,NA,FALSE,TRUE,FALSE,FALSE,North Central,350,Dem
lib_slight_Demopp,"about $1,300 a month",reduce,"about 100,000",B.A.,male,Male,disapprove somewhat,somewhat prefer complex problems,a lot,"slightly prefer big, long-term projects",like a little,like a lot,slightly more satisfied than relieved,IL,1970,Dem_opp,expand,small,FALSE,TRUE,40,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,41,Rep
lib_large_nocue,"about $1,000 a month",expand,"about 500,000","M.B.A., M.D., or J.D.",female,F,disapprove strongly,somewhat prefer complex problems,a great deal,"slightly prefer big, long-term projects",like a little,like a lot,somewhat more satisfied than relieved,CT,1969,no_cue,expand,large,TRUE,FALSE,41,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Northeast,83,Rep
con_slight_nocue,"about $1,300 a month",reduce,about 1 million,12th,male,Male,approve slightly,somewhat prefer complex problems,a great deal,no preference,dislike somewhat,like a lot,somewhat more relieved than satisfied,MD,1968,no_cue,reduce,small,FALSE,TRUE,42,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,South,2677,Dem
lib_slight_nocue,"about $1,600 a month",expand,"about 500,000",some college,female,female,neither approve nor disapprove,no preference,a lot,no preference,like somewhat,like somewhat,slightly more satisfied than relieved,CA,1960,no_cue,expand,small,TRUE,FALSE,50,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,153,Dem
con_large_nocue,"about $1,300 a month",reduce,about 1 million,12th,male,male,disapprove strongly,somewhat prefer complex problems,a great deal,"somewhat prefer big, long-term projects",like somewhat,like a lot,somewhat more satisfied than relieved,OR,9720,no_cue,reduce,large,FALSE,TRUE,-7710,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,West,233,Dem
lib_large_nocue,"about $1,300 a month",neither,"about 10,000",B.A.,female,female,approve slightly,slightly prefer complex problems,a lot,"slightly prefer big, long-term projects",like a little,like a little,relief and satisfaction to the same degree,NY,1983,no_cue,expand,large,TRUE,FALSE,27,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Northeast,5,Dem
lib_slight_Demopp,"about $1,300 a month",expand,"about 50,000",other advanced degree,female,female,approve slightly,slightly prefer complex problems,a lot,"slightly prefer big, long-term projects",like a lot,neither like nor dislike,slightly more satisfied than relieved,CA,1927,Dem_opp,expand,small,TRUE,FALSE,83,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,246,Dem
lib_slight_nocue,"about $2,200 a month",expand,"about 100,000",some college,female,Female,disapprove slightly,slightly prefer complex problems,a lot,no preference,neither like nor dislike,neither like nor dislike,somewhat more satisfied than relieved,CA,1969,no_cue,expand,small,TRUE,FALSE,41,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,123,Rep
con_slight_nocue,"about $1,000 a month",reduce,about 1 million,B.A.,male,male,disapprove strongly,somewhat prefer complex problems,a lot,"slightly prefer big, long-term projects",like somewhat,like somewhat,somewhat more satisfied than relieved,WA,1952,no_cue,reduce,small,FALSE,TRUE,58,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,364,Dem
lib_large_nocue,"about $1,600 a month",expand,"about 500,000",some college,male,male,approve somewhat,greatly prefer complex problems,a lot,"greatly prefer big, long-term projects",like somewhat,like somewhat,slightly more relieved than satisfied,CA,1990,no_cue,expand,large,FALSE,TRUE,20,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,15,Rep
lib_large_Demopp,"about $2,200 a month",expand,"about 100,000",some college,female,f,approve somewhat,somewhat prefer simple problems,a moderate amount,"somewhat prefer small, daily projects",dislike a little,dislike somewhat,relief and satisfaction to the same degree,ND,1953,Dem_opp,expand,large,TRUE,FALSE,57,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,175,Dem
con_slight_Demopp,"about $1,000 a month",neither,"about 500,000",B.A.,male,male,approve somewhat,somewhat prefer complex problems,a lot,no preference,like somewhat,like a lot,much more satisfied than relieved,CA,1937,Dem_opp,reduce,small,FALSE,TRUE,73,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,590,Rep
lib_slight_Demopp,"about $1,000 a month",expand,"about 50,000",B.A.,female,female,disapprove slightly,slightly prefer simple problems,a moderate amount,no preference,neither like nor dislike,neither like nor dislike,relief and satisfaction to the same degree,CA,1987,Dem_opp,expand,small,TRUE,FALSE,23,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,10,Dem
lib_large_nocue,"about $2,200 a month",neither,"about 500,000",B.A.,male,Male,disapprove somewhat,slightly prefer simple problems,a moderate amount,"slightly prefer small, daily projects",like a little,dislike a lot,relief and satisfaction to the same degree,NM,1950,no_cue,expand,large,FALSE,TRUE,60,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,237,Dem
con_slight_nocue,"about $1,000 a month",reduce,"about 500,000",M.A.,male,male,disapprove slightly,somewhat prefer complex problems,a great deal,"slightly prefer small, daily projects",like somewhat,like a lot,much more satisfied than relieved,KS,1955,no_cue,reduce,small,FALSE,TRUE,55,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,390,Rep
lib_large_Demopp,"about $2,200 a month",reduce,"about 10,000","M.B.A., M.D., or J.D.",female,F,disapprove somewhat,greatly prefer complex problems,a great deal,"greatly prefer big, long-term projects",like a lot,like a lot,much more satisfied than relieved,OR,1964,Dem_opp,expand,large,TRUE,FALSE,46,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,106,Dem
lib_large_Demopp,"about $1,300 a month",expand,about 1 million,some college,female,female,approve strongly,greatly prefer complex problems,a lot,"greatly prefer big, long-term projects",like a lot,like a lot,much more satisfied than relieved,MO,1965,Dem_opp,expand,large,TRUE,FALSE,45,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,89,Rep
con_slight_nocue,"about $1,000 a month",reduce,"about 10,000",some college,female,female,disapprove strongly,slightly prefer simple problems,a little,no preference,neither like nor dislike,neither like nor dislike,somewhat more satisfied than relieved,OK,1943,no_cue,reduce,small,TRUE,FALSE,67,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,301,Rep
con_slight_nocue,"about $1,300 a month",neither,"about 100,000",12th,male,male,neither approve nor disapprove,no preference,a little,no preference,dislike somewhat,neither like nor dislike,relief and satisfaction to the same degree,WI,1948,no_cue,reduce,small,FALSE,TRUE,62,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,North Central,8,Rep
con_large_Demopp,"about $1,300 a month",reduce,"about 100,000",M.A.,female,f,approve somewhat,somewhat prefer simple problems,a moderate amount,"slightly prefer small, daily projects",dislike somewhat,neither like nor dislike,slightly more relieved than satisfied,CA,192,Dem_opp,reduce,large,TRUE,FALSE,1818,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,West,211,Rep
lib_slight_nocue,"about $1,600 a month",expand,"about 500,000",some college,female,female,approve somewhat,greatly prefer complex problems,a great deal,"greatly prefer big, long-term projects",like somewhat,like a lot,somewhat more satisfied than relieved,MA,1951,no_cue,expand,small,TRUE,FALSE,59,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Northeast,25,Dem
lib_large_Demopp,"about $2,200 a month",neither,"about 500,000",M.A.,female,female,approve somewhat,slightly prefer complex problems,a lot,"slightly prefer small, daily projects",dislike a little,like somewhat,somewhat more satisfied than relieved,OH,1947,Dem_opp,expand,large,TRUE,FALSE,63,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,232,Dem
lib_slight_Demopp,"about $1,600 a month",expand,"about 50,000",B.A.,male,Male,approve strongly,slightly prefer simple problems,a moderate amount,"somewhat prefer small, daily projects",dislike somewhat,dislike a lot,slightly more relieved than satisfied,AZ,1954,Dem_opp,expand,small,FALSE,TRUE,56,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,141,Rep
lib_slight_nocue,"about $1,600 a month",expand,about 1 million,Ph.D.,male,Male,approve somewhat,no preference,a great deal,"greatly prefer big, long-term projects",like a lot,like a lot,somewhat more satisfied than relieved,PA,1944,no_cue,expand,small,FALSE,TRUE,66,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Northeast,141,Rep
con_slight_nocue,"about $1,300 a month",reduce,"about 100,000",B.A.,male,male,neither approve nor disapprove,slightly prefer simple problems,a moderate amount,"somewhat prefer small, daily projects",neither like nor dislike,neither like nor dislike,slightly more satisfied than relieved,WY,1949,no_cue,reduce,small,FALSE,TRUE,61,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,394,Rep
con_large_Demopp,"about $1,000 a month",reduce,"about 50,000",some college,male,Male,disapprove somewhat,somewhat prefer complex problems,a great deal,no preference,like somewhat,like a lot,somewhat more satisfied than relieved,PA,1988,Dem_opp,reduce,large,FALSE,TRUE,22,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Northeast,37,Dem
con_slight_nocue,"about $1,300 a month",reduce,NA,12th,female,female,approve strongly,somewhat prefer complex problems,a lot,"somewhat prefer big, long-term projects",neither like nor dislike,like a lot,much more satisfied than relieved,MA,1987,no_cue,reduce,small,TRUE,FALSE,23,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Northeast,121,Dem
lib_slight_Demopp,"about $1,300 a month",expand,"about 500,000",B.A.,male,male,disapprove strongly,slightly prefer simple problems,a little,no preference,neither like nor dislike,like somewhat,slightly more satisfied than relieved,LA,1940,Dem_opp,expand,small,FALSE,TRUE,70,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,35,Rep
lib_slight_Demopp,"about $2,200 a month",expand,"about 50,000",some college,female,female,approve somewhat,greatly prefer complex problems,a lot,no preference,like a little,like a lot,slightly more satisfied than relieved,TX,1991,Dem_opp,expand,small,TRUE,FALSE,19,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,140,Dem
con_slight_nocue,"about $1,300 a month",expand,NA,12th,female,female,neither approve nor disapprove,greatly prefer simple problems,a little,"somewhat prefer small, daily projects",neither like nor dislike,dislike somewhat,somewhat more relieved than satisfied,AL,1946,no_cue,reduce,small,TRUE,FALSE,64,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,South,588,Dem
lib_slight_nocue,"about $2,200 a month",expand,"about 100,000",M.A.,male,male,approve strongly,slightly prefer complex problems,a moderate amount,no preference,dislike a little,like a little,slightly more satisfied than relieved,OR,1947,no_cue,expand,small,FALSE,TRUE,63,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,79,Dem
lib_slight_nocue,"about $1,600 a month",expand,about 1 million,12th,female,female,approve somewhat,somewhat prefer complex problems,a great deal,"somewhat prefer big, long-term projects",like somewhat,like somewhat,somewhat more satisfied than relieved,NH,1968,no_cue,expand,small,TRUE,FALSE,42,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Northeast,354,Rep
con_slight_nocue,"about $1,300 a month",reduce,"about 10,000",some college,male,Male,disapprove strongly,greatly prefer simple problems,a lot,"greatly prefer small, daily projects",neither like nor dislike,like a little,relief and satisfaction to the same degree,IL,1946,no_cue,reduce,small,FALSE,TRUE,64,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,387,Dem
con_slight_nocue,"about $1,300 a month",reduce,"about 10,000",12th,female,female,disapprove strongly,somewhat prefer simple problems,a moderate amount,"greatly prefer small, daily projects",neither like nor dislike,neither like nor dislike,relief and satisfaction to the same degree,FL,1959,no_cue,reduce,small,TRUE,FALSE,51,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,South,185,Rep
lib_slight_nocue,"about $1,600 a month",expand,about 1 million,B.A.,female,female,disapprove somewhat,no preference,a moderate amount,"slightly prefer big, long-term projects",dislike a little,like a little,slightly more relieved than satisfied,CO,1941,no_cue,expand,small,TRUE,FALSE,69,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,439,Rep
con_large_nocue,about $500 a month,neither,"about 50,000",some college,female,female,neither approve nor disapprove,greatly prefer simple problems,a moderate amount,no preference,neither like nor dislike,dislike a little,slightly more relieved than satisfied,MO,1949,no_cue,reduce,large,TRUE,FALSE,61,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,80,Dem
con_slight_nocue,"about $1,000 a month",reduce,about 1 million,some college,female,female,disapprove strongly,slightly prefer simple problems,a little,"slightly prefer small, daily projects",dislike a little,like somewhat,somewhat more satisfied than relieved,MO,1949,no_cue,reduce,small,TRUE,FALSE,61,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,364,Dem
con_slight_nocue,"about $1,300 a month",reduce,"about 100,000",12th,female,female,disapprove slightly,slightly prefer complex problems,a moderate amount,"slightly prefer small, daily projects",dislike somewhat,dislike a little,relief and satisfaction to the same degree,CA,1946,no_cue,reduce,small,TRUE,FALSE,64,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,West,305,Rep
con_slight_nocue,"about $1,300 a month",reduce,"about 50,000",12th,male,male,approve somewhat,somewhat prefer simple problems,a little,"slightly prefer small, daily projects",dislike a lot,dislike somewhat,somewhat more relieved than satisfied,MT,1944,no_cue,reduce,small,FALSE,TRUE,66,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,West,227,Rep
lib_slight_nocue,"about $2,200 a month",expand,about 1 million,some college,female,female,approve strongly,somewhat prefer complex problems,a great deal,"slightly prefer small, daily projects",like a little,like somewhat,much more satisfied than relieved,FL,1990,no_cue,expand,small,TRUE,FALSE,20,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,117,Dem
con_slight_Demopp,"about $1,300 a month",reduce,about 1 million,NA,male,male,approve somewhat,greatly prefer simple problems,a great deal,"greatly prefer small, daily projects",like a little,like a lot,much more satisfied than relieved,AZ,1956,Dem_opp,reduce,small,FALSE,TRUE,54,TRUE,NA,FALSE,FALSE,FALSE,TRUE,West,1372,Rep
lib_slight_Demopp,"about $2,200 a month",expand,"about 100,000",NA,female,female,approve slightly,somewhat prefer simple problems,a little,"slightly prefer small, daily projects",dislike a lot,dislike a lot,much more satisfied than relieved,IL,1945,Dem_opp,expand,small,TRUE,FALSE,65,TRUE,NA,FALSE,TRUE,FALSE,FALSE,North Central,1736,Rep
con_slight_nocue,"about $1,300 a month",reduce,"about 50,000",NA,female,female,approve strongly,no preference,none,no preference,dislike a lot,dislike a lot,relief and satisfaction to the same degree,IN,1939,no_cue,reduce,small,TRUE,FALSE,71,TRUE,NA,FALSE,TRUE,FALSE,FALSE,North Central,229,Dem
con_slight_Demopp,"about $1,600 a month",reduce,"about 500,000",B.A.,male,male,neither approve nor disapprove,somewhat prefer complex problems,a lot,"somewhat prefer big, long-term projects",like somewhat,like somewhat,much more satisfied than relieved,CA,1964,Dem_opp,reduce,small,FALSE,TRUE,46,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,52,Rep
lib_slight_Demopp,"about $1,600 a month",expand,"about 10,000",12th,female,Female,disapprove somewhat,somewhat prefer simple problems,a moderate amount,"slightly prefer big, long-term projects",dislike a lot,dislike somewhat,relief and satisfaction to the same degree,CA,1990,Dem_opp,expand,small,TRUE,FALSE,20,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,West,720,Dem
con_slight_nocue,"about $1,300 a month",reduce,"about 10,000",some college,female,female,disapprove strongly,no preference,a moderate amount,no preference,dislike somewhat,like a little,slightly more satisfied than relieved,NC,1942,no_cue,reduce,small,TRUE,FALSE,68,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,74,Dem
con_large_Demopp,"about $1,300 a month",reduce,about 1 million,B.A.,female,Female,disapprove strongly,greatly prefer complex problems,a great deal,"somewhat prefer big, long-term projects",like a lot,like a lot,much more satisfied than relieved,CA,1946,Dem_opp,reduce,large,TRUE,FALSE,64,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,365,Dem
lib_slight_Demopp,"about $1,600 a month",expand,NA,NA,male,Male,approve slightly,greatly prefer complex problems,a great deal,"slightly prefer big, long-term projects",like a little,like a lot,much more satisfied than relieved,OH,1977,Dem_opp,expand,small,FALSE,TRUE,33,TRUE,NA,FALSE,TRUE,FALSE,FALSE,North Central,622,Rep
lib_slight_nocue,"about $2,200 a month",expand,"about 50,000",B.A.,female,Female,approve somewhat,somewhat prefer complex problems,a lot,"somewhat prefer big, long-term projects",like a little,like somewhat,somewhat more satisfied than relieved,CA,1985,no_cue,expand,small,TRUE,FALSE,25,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,192,Dem
lib_slight_Demopp,"about $1,600 a month",expand,"about 100,000",some college,female,female,disapprove somewhat,no preference,a great deal,no preference,neither like nor dislike,like a little,somewhat more satisfied than relieved,IL,1970,Dem_opp,expand,small,TRUE,FALSE,40,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,176,Rep
con_slight_Demopp,"about $1,000 a month",reduce,"about 50,000",B.A.,female,f,disapprove slightly,no preference,a lot,no preference,dislike a lot,like a little,much more satisfied than relieved,AZ,1946,Dem_opp,reduce,small,TRUE,FALSE,64,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,486,Rep
lib_slight_nocue,"about $1,300 a month",neither,"about 10,000",B.A.,female,female,approve strongly,slightly prefer complex problems,a great deal,"somewhat prefer big, long-term projects",like a lot,like somewhat,much more satisfied than relieved,CA,1947,no_cue,expand,small,TRUE,FALSE,63,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,177,Dem
con_slight_nocue,"about $1,300 a month",reduce,"about 500,000",B.A.,female,Female,disapprove somewhat,somewhat prefer complex problems,a great deal,no preference,dislike a lot,neither like nor dislike,relief and satisfaction to the same degree,UT,1969,no_cue,reduce,small,TRUE,FALSE,41,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,185,Rep
lib_slight_nocue,"about $1,600 a month",expand,"about 500,000",M.A.,male,MALE,disapprove slightly,somewhat prefer complex problems,a lot,"somewhat prefer big, long-term projects",like a little,like somewhat,relief and satisfaction to the same degree,MA,1971,no_cue,expand,small,FALSE,TRUE,39,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Northeast,151,Rep
con_slight_Demopp,"about $1,300 a month",reduce,"about 50,000",B.A.,female,female,disapprove strongly,somewhat prefer complex problems,a great deal,"slightly prefer big, long-term projects",like a lot,like a lot,somewhat more relieved than satisfied,KS,1964,Dem_opp,reduce,small,TRUE,FALSE,46,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,149,Dem
con_slight_Demopp,"about $1,300 a month",reduce,NA,some college,female,female,disapprove strongly,somewhat prefer simple problems,a moderate amount,"somewhat prefer small, daily projects",dislike a lot,dislike a little,much more relieved than satisfied,CA,1943,Dem_opp,reduce,small,TRUE,FALSE,67,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,326,Dem
lib_slight_nocue,"about $1,600 a month",expand,about 1 million,B.A.,female,female,neither approve nor disapprove,slightly prefer simple problems,a great deal,"slightly prefer small, daily projects",neither like nor dislike,dislike a little,relief and satisfaction to the same degree,CA,1946,no_cue,expand,small,TRUE,FALSE,64,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,132,Rep
lib_slight_nocue,"about $2,200 a month",expand,about 1 million,some college,male,male,disapprove slightly,slightly prefer complex problems,a moderate amount,"slightly prefer small, daily projects",dislike a little,like a little,slightly more satisfied than relieved,NJ,1991,no_cue,expand,small,FALSE,TRUE,19,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Northeast,29,Dem
con_slight_nocue,"about $1,300 a month",reduce,about 1 million,NA,female,female,disapprove strongly,no preference,a lot,no preference,like a little,like somewhat,slightly more satisfied than relieved,TX,1946,no_cue,reduce,small,TRUE,FALSE,64,TRUE,NA,FALSE,FALSE,TRUE,FALSE,South,398,Rep
lib_slight_nocue,"about $2,200 a month",expand,"about 100,000",B.A.,male,male,disapprove strongly,somewhat prefer complex problems,a great deal,no preference,like a lot,like a lot,somewhat more satisfied than relieved,ND,1962,no_cue,expand,small,FALSE,TRUE,48,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,141,Rep
lib_slight_Demopp,"about $2,200 a month",neither,"about 500,000",B.A.,male,male,approve slightly,slightly prefer complex problems,a moderate amount,"slightly prefer big, long-term projects",neither like nor dislike,neither like nor dislike,somewhat more relieved than satisfied,CA,1933,Dem_opp,expand,small,FALSE,TRUE,77,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,34,Dem
con_slight_Demopp,"about $1,300 a month",neither,"about 50,000",B.A.,male,male,approve somewhat,greatly prefer complex problems,a moderate amount,"somewhat prefer big, long-term projects",like a lot,like a lot,much more satisfied than relieved,FL,1936,Dem_opp,reduce,small,FALSE,TRUE,74,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,293,Rep
lib_slight_Demopp,"about $2,200 a month",expand,"about 10,000",some college,male,Male,approve strongly,slightly prefer complex problems,a great deal,no preference,like somewhat,dislike a little,much more satisfied than relieved,OR,1943,Dem_opp,expand,small,FALSE,TRUE,67,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,715,Dem
lib_slight_nocue,"about $1,600 a month",expand,"about 100,000",some college,male,Male,approve slightly,somewhat prefer simple problems,a moderate amount,"somewhat prefer small, daily projects",dislike a lot,like a little,somewhat more relieved than satisfied,OR,1991,no_cue,expand,small,FALSE,TRUE,19,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,261,Rep
lib_slight_nocue,"about $1,600 a month",neither,"about 10,000",B.A.,male,male,approve somewhat,somewhat prefer complex problems,a great deal,"somewhat prefer big, long-term projects",dislike somewhat,like somewhat,much more relieved than satisfied,AZ,1946,no_cue,expand,small,FALSE,TRUE,64,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,1508,Rep
con_large_Demopp,about $500 a month,neither,"about 50,000",some college,male,Male,approve strongly,slightly prefer simple problems,a moderate amount,"somewhat prefer small, daily projects",dislike somewhat,like a little,slightly more satisfied than relieved,AZ,1950,Dem_opp,reduce,large,FALSE,TRUE,60,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,165,Rep
lib_large_nocue,"about $2,200 a month",expand,"about 100,000",some college,female,female,approve strongly,slightly prefer simple problems,a moderate amount,"slightly prefer small, daily projects",dislike a lot,dislike a little,much more relieved than satisfied,MI,1959,no_cue,expand,large,TRUE,FALSE,51,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,168,Dem
lib_large_Demopp,"about $2,200 a month",expand,"about 100,000",some college,male,Male,approve slightly,slightly prefer complex problems,a lot,no preference,neither like nor dislike,like a little,somewhat more satisfied than relieved,IL,1947,Dem_opp,expand,large,FALSE,TRUE,63,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,274,Dem
lib_slight_nocue,"about $1,300 a month",expand,"about 100,000",NA,female,female,approve slightly,greatly prefer simple problems,a little,"greatly prefer small, daily projects",dislike a lot,dislike a lot,somewhat more relieved than satisfied,WA,1954,no_cue,expand,small,TRUE,FALSE,56,TRUE,NA,FALSE,FALSE,FALSE,TRUE,West,106,Dem
con_slight_nocue,"about $1,000 a month",reduce,"about 50,000",NA,NA,NA,disapprove strongly,somewhat prefer complex problems,a lot,"slightly prefer small, daily projects",dislike a little,like a little,somewhat more satisfied than relieved,MI,1978,no_cue,reduce,small,NA,NA,32,TRUE,NA,FALSE,TRUE,FALSE,FALSE,North Central,223,Dem
lib_slight_nocue,"about $2,200 a month",neither,"about 50,000",NA,male,Male,disapprove somewhat,no preference,a moderate amount,"slightly prefer big, long-term projects",dislike somewhat,dislike somewhat,relief and satisfaction to the same degree,CA,1942,no_cue,expand,small,FALSE,TRUE,68,TRUE,NA,FALSE,FALSE,FALSE,TRUE,West,275,Rep
lib_slight_Demopp,"about $2,200 a month",expand,"about 500,000",B.A.,male,male,approve strongly,somewhat prefer simple problems,a great deal,"somewhat prefer small, daily projects",like somewhat,like somewhat,somewhat more satisfied than relieved,KS,1961,Dem_opp,expand,small,FALSE,TRUE,49,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,214,Dem
lib_slight_nocue,"about $1,000 a month",expand,"about 100,000",12th,female,Female,neither approve nor disapprove,slightly prefer simple problems,a moderate amount,"greatly prefer small, daily projects",dislike a lot,neither like nor dislike,much more relieved than satisfied,NE,1957,no_cue,expand,small,TRUE,FALSE,53,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,North Central,51,Dem
lib_slight_Demopp,"about $1,600 a month",neither,"about 10,000",12th,female,female,neither approve nor disapprove,no preference,a moderate amount,no preference,dislike a little,neither like nor dislike,slightly more relieved than satisfied,MS,1953,Dem_opp,expand,small,TRUE,FALSE,57,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,South,374,Rep
lib_large_nocue,"about $1,300 a month",expand,"about 50,000",12th,male,Male,neither approve nor disapprove,greatly prefer simple problems,a little,no preference,dislike a little,neither like nor dislike,slightly more relieved than satisfied,KS,1937,no_cue,expand,large,FALSE,TRUE,73,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,North Central,64,Rep
con_slight_Demopp,"about $1,600 a month",reduce,about 1 million,some college,female,female,disapprove somewhat,no preference,a little,"slightly prefer small, daily projects",dislike a lot,neither like nor dislike,slightly more satisfied than relieved,CA,1970,Dem_opp,reduce,small,TRUE,FALSE,40,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,265,Dem
con_slight_nocue,"about $1,300 a month",reduce,"about 10,000",some college,female,femalr,approve slightly,no preference,a lot,no preference,neither like nor dislike,neither like nor dislike,relief and satisfaction to the same degree,KS,1970,no_cue,reduce,small,TRUE,FALSE,40,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,345,Dem
con_large_Demopp,"about $1,000 a month",expand,"about 10,000",B.A.,female,female,disapprove slightly,greatly prefer simple problems,a moderate amount,"greatly prefer small, daily projects",like a little,like somewhat,much more relieved than satisfied,HI,1963,Dem_opp,reduce,large,TRUE,FALSE,47,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,132,Dem
