article.type,cue.memory.cutoff,cue.memory.policy,cue.memory.total.recipients,education,gender,gender.original,gk.Cheney,gk.Cheney.original,initial.like,ncog1,ncog3,ncog4,ncog5,ncog6,ncog7,state,year.of.birth,cue.condition,Demsupp,Demopp,female,male,age,age.legit,educ.low,Northeast,North.Central,South,West,region,PID.pre
con_Demsupp,"about $1,500 a month",reduce,"about 50,000",some college,female,FEMALE,TRUE,VICE PRESIDENT,disapprove strongly,slightly prefer complex proble,a moderate amount,"somewhat prefer big, long-term",like a little,like somewhat,slightly more satisfied than r,GA,1977,Demsupp,TRUE,FALSE,TRUE,FALSE,31,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,Rep
lib_Demsupp,"about $2,500 a month",expand,"about 50,000",some college,female,Female,TRUE,Vice President,approve strongly,no preference,a great deal,no preference,like somewhat,like somewhat,somewhat more satisfied than r,NY,1980,Demsupp,TRUE,FALSE,TRUE,FALSE,28,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Northeast,Dem
con_Demopp,about $500 a month,neither,about 1 million,some college,male,male,TRUE,Vice President,approve somewhat,greatly prefer simple problems,none,"slightly prefer big, long-term",dislike somewhat,dislike a little,somewhat more relieved than sa,MI,1964,Demopp,FALSE,TRUE,FALSE,TRUE,44,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,Rep
con_Demopp,"about $2,000 a month",reduce,"about 500,000",B.A.,female,Female,TRUE,Vice-President,disapprove strongly,slightly prefer simple problem,a lot,"slightly prefer small, daily p",dislike a little,dislike a little,somewhat more relieved than sa,FL,1977,Demopp,FALSE,TRUE,TRUE,FALSE,31,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,Dem
lib_Demsupp,"about $2,000 a month",expand,"about 100,000",Associate's Degree,male,male,TRUE,vice-president,disapprove somewhat,no preference,a lot,"somewhat prefer small, daily p",like a little,like somewhat,relief and satisfaction to the,ID,1984,Demsupp,TRUE,FALSE,FALSE,TRUE,24,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,Rep
lib_Demsupp,"about $2,000 a month",expand,about 1 million,8th,female,Female,TRUE,vice-pres.,approve strongly,no preference,a lot,no preference,neither like nor dislike,like a little,slightly more satisfied than r,IA,1966,Demsupp,TRUE,FALSE,TRUE,FALSE,42,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,North Central,Dem
con_Demsupp,about $500 a month,reduce,"about 10,000",B.A.,female,female,TRUE,Vice President,disapprove somewhat,slightly prefer complex proble,a lot,"slightly prefer big, long-term",dislike a little,neither like nor dislike,much more satisfied than relie,OH,1984,Demsupp,TRUE,FALSE,TRUE,FALSE,24,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,Rep
con_Demopp,"about $1,500 a month",neither,"about 50,000",12th,female,female,FALSE,c,disapprove slightly,no preference,a moderate amount,"somewhat prefer small, daily p",dislike a little,dislike a little,somewhat more relieved than sa,VA,1973,Demopp,FALSE,TRUE,TRUE,FALSE,35,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,South,Dem
con_Demsupp,about $500 a month,reduce,"about 50,000",Associate's Degree,female,female,TRUE,vice president,approve slightly,slightly prefer simple problem,a moderate amount,no preference,dislike a little,like a little,slightly more satisfied than r,CA,1978,Demsupp,TRUE,FALSE,TRUE,FALSE,30,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,Rep
lib_Demopp,about $500 a month,neither,about 1 million,12th,female,female,TRUE,vice president,neither approve nor disapprove,no preference,a moderate amount,no preference,neither like nor dislike,neither like nor dislike,relief and satisfaction to the,TN,1979,Demopp,FALSE,TRUE,TRUE,FALSE,29,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,South,Dem
lib_Demopp,"about $1,500 a month",expand,"about 10,000",some college,male,male,TRUE,Vice President,approve slightly,greatly prefer complex problem,a great deal,NA,like somewhat,like a lot,much more satisfied than relie,TN,1988,Demopp,FALSE,TRUE,FALSE,TRUE,20,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,Dem
con_nocue,about $500 a month,reduce,NA,B.A.,female,Femal,TRUE,Vice President,approve slightly,greatly prefer simple problems,a moderate amount,"slightly prefer big, long-term",dislike a lot,dislike somewhat,somewhat more relieved than sa,CA,1970,nocue,FALSE,FALSE,TRUE,FALSE,38,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,Dem
con_Demopp,about $500 a month,reduce,about 1 million,Associate's Degree,female,female,TRUE,Vice-President,disapprove somewhat,no preference,a lot,no preference,dislike a little,like a little,somewhat more relieved than sa,IN,1970,Demopp,FALSE,TRUE,TRUE,FALSE,38,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,Dem
lib_Demsupp,"about $2,500 a month",expand,"about 100,000",some college,female,female,TRUE,vice president,approve somewhat,no preference,a moderate amount,"greatly prefer small, daily pr",dislike somewhat,dislike somewhat,much more relieved than satisf,MO,1967,Demsupp,TRUE,FALSE,TRUE,FALSE,41,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,Dem
lib_nocue,"about $1,500 a month",expand,"about 100,000",12th,female,female,FALSE,NA,neither approve nor disapprove,greatly prefer simple problems,a moderate amount,"somewhat prefer big, long-term",dislike a lot,dislike somewhat,relief and satisfaction to the,CA,1968,nocue,FALSE,FALSE,TRUE,FALSE,40,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,West,Dem
con_Demsupp,about $500 a month,neither,"about 100,000",Associate's Degree,male,male,TRUE,vp,disapprove slightly,slightly prefer complex proble,a lot,no preference,dislike a little,like a little,slightly more satisfied than r,NY,1968,Demsupp,TRUE,FALSE,FALSE,TRUE,40,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Northeast,Rep
lib_Demopp,"about $1,500 a month",expand,"about 50,000",Associate's Degree,female,Female,TRUE,Vice President,neither approve nor disapprove,greatly prefer simple problems,none,no preference,dislike a lot,neither like nor dislike,somewhat more relieved than sa,GA,1967,Demopp,FALSE,TRUE,TRUE,FALSE,41,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,Rep
