article.type,cue.memory.cutoff,cue.memory.policy,cue.memory.total.recipients,education,gender,gender.original,gk.Cheney,gk.Cheney.original,initial.like,ncog1,ncog3,ncog4,ncog5,ncog6,ncog7,state,year.of.birth,cue.condition,Demsupp,Demopp,female,male,age,age.legit,educ.low,Northeast,North.Central,South,West,region,PID.pre
con_Demopp,about $500 a month,neither,"about 100,000",12th,male,male,TRUE,Vice-Pres,disapprove strongly,slightly prefer complex proble,a lot,no preference,like a little,neither like nor dislike,slightly more satisfied than r,OH,1935,Demopp,FALSE,TRUE,FALSE,TRUE,73,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,North Central,Dem
lib_Demsupp,"about $1,000 a month",reduce,"about 50,000",some college,female,female,FALSE,NA,disapprove somewhat,no preference,a moderate amount,"somewhat prefer big, long-term",neither like nor dislike,like somewhat,relief and satisfaction to the,OR,1963,Demsupp,TRUE,FALSE,TRUE,FALSE,45,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,Rep
con_Demopp,"about $1,000 a month",reduce,"about 500,000",12th,male,Male,TRUE,Vice President,approve somewhat,no preference,a lot,no preference,neither like nor dislike,like a little,somewhat more satisfied than r,NC,1940,Demopp,FALSE,TRUE,FALSE,TRUE,68,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,South,Rep
con_nocue,about $500 a month,reduce,NA,12th,male,male,TRUE,vp,disapprove somewhat,somewhat prefer simple problem,a great deal,"somewhat prefer small, daily p",like somewhat,like somewhat,relief and satisfaction to the,WV,1960,nocue,FALSE,FALSE,FALSE,TRUE,48,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,South,Dem
lib_nocue,"about $2,500 a month",expand,"about 100,000",some college,male,male,TRUE,Vice President,neither approve nor disapprove,no preference,a lot,no preference,dislike a lot,dislike somewhat,relief and satisfaction to the,MS,1957,nocue,FALSE,FALSE,FALSE,TRUE,51,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,Rep
lib_nocue,"about $2,500 a month",expand,"about 100,000",M.A.,male,Male,TRUE,Vice President,approve slightly,slightly prefer complex proble,a lot,"slightly prefer small, daily p",dislike a little,like somewhat,somewhat more satisfied than r,OK,1945,nocue,FALSE,FALSE,FALSE,TRUE,63,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,Dem
con_Demopp,about $500 a month,reduce,about 1 million,M.A.,male,male,TRUE,VP,disapprove somewhat,somewhat prefer simple problem,a moderate amount,"greatly prefer small, daily pr",dislike a little,neither like nor dislike,somewhat more relieved than sa,NC,1950,Demopp,FALSE,TRUE,FALSE,TRUE,58,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,Rep
con_Demsupp,"about $1,000 a month",neither,"about 100,000",12th,male,male,TRUE,vice president,neither approve nor disapprove,no preference,a lot,no preference,dislike a little,like somewhat,relief and satisfaction to the,NE,1936,Demsupp,TRUE,FALSE,FALSE,TRUE,72,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,North Central,Rep
lib_Demopp,"about $2,500 a month",reduce,"about 500,000",B.A.,male,Male,TRUE,Vice President,neither approve nor disapprove,no preference,a great deal,"slightly prefer small, daily p",like a little,like somewhat,somewhat more satisfied than r,IL,1979,Demopp,FALSE,TRUE,FALSE,TRUE,29,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,Rep
con_Demsupp,"about $2,000 a month",reduce,"about 100,000",B.A.,male,male,TRUE,VP,approve somewhat,somewhat prefer complex proble,a lot,"somewhat prefer big, long-term",like somewhat,like somewhat,somewhat more satisfied than r,TN,1948,Demsupp,TRUE,FALSE,FALSE,TRUE,60,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,Rep
lib_Demopp,"about $1,500 a month",expand,"about 50,000",12th,male,male,TRUE,vice president,neither approve nor disapprove,no preference,a lot,no preference,neither like nor dislike,like a little,slightly more satisfied than r,OH,1974,Demopp,FALSE,TRUE,FALSE,TRUE,34,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,North Central,Rep
lib_Demsupp,"about $2,500 a month",expand,"about 100,000",12th,female,femail,TRUE,Vice President,approve somewhat,no preference,a moderate amount,"slightly prefer small, daily p",neither like nor dislike,like somewhat,relief and satisfaction to the,TX,1954,Demsupp,TRUE,FALSE,TRUE,FALSE,54,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,South,Dem
lib_Demsupp,"about $1,500 a month",reduce,"about 100,000",B.A.,male,Male,TRUE,VP,neither approve nor disapprove,no preference,a moderate amount,"slightly prefer small, daily p",like a little,like somewhat,slightly more satisfied than r,MN,1969,Demsupp,TRUE,FALSE,FALSE,TRUE,39,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,Rep
con_nocue,about $500 a month,reduce,about 1 million,M.A.,male,male,TRUE,vice president,disapprove somewhat,slightly prefer complex proble,a great deal,"slightly prefer big, long-term",like somewhat,like somewhat,much more satisfied than relie,NC,1971,nocue,FALSE,FALSE,FALSE,TRUE,37,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,Dem
con_Demopp,about $500 a month,reduce,about 1 million,some college,female,female,TRUE,vice president of the US,disapprove strongly,no preference,a moderate amount,no preference,dislike a little,like somewhat,relief and satisfaction to the,NY,1946,Demopp,FALSE,TRUE,TRUE,FALSE,62,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Northeast,Dem
lib_nocue,"about $2,000 a month",reduce,"about 100,000",B.A.,male,Male,TRUE,Vice Presidaent,disapprove strongly,somewhat prefer complex proble,a lot,"somewhat prefer big, long-term",like a little,like somewhat,much more satisfied than relie,FL,1971,nocue,FALSE,FALSE,FALSE,TRUE,37,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,Rep
lib_Demopp,"about $2,500 a month",expand,"about 50,000","M.B.A., M.D., or J.D.",female,female,TRUE,vp,approve somewhat,no preference,a great deal,"somewhat prefer big, long-term",neither like nor dislike,like a lot,much more satisfied than relie,NM,1938,Demopp,FALSE,TRUE,TRUE,FALSE,70,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,Dem
lib_Demopp,"about $2,500 a month",neither,NA,some college,female,female,TRUE,vp,neither approve nor disapprove,greatly prefer simple problems,a moderate amount,no preference,dislike a lot,dislike a lot,relief and satisfaction to the,FL,1939,Demopp,FALSE,TRUE,TRUE,FALSE,69,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,Dem
con_nocue,about $500 a month,reduce,"about 100,000",B.A.,female,female,TRUE,vp,approve slightly,slightly prefer simple problem,a little,"slightly prefer big, long-term",dislike a little,neither like nor dislike,relief and satisfaction to the,MI,1977,nocue,FALSE,FALSE,TRUE,FALSE,31,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,Rep
con_nocue,about $500 a month,reduce,about 1 million,12th,female,female,TRUE,VP-WAR MONGER,disapprove strongly,slightly prefer complex proble,a lot,"slightly prefer small, daily p",neither like nor dislike,like somewhat,relief and satisfaction to the,CT,1965,nocue,FALSE,FALSE,TRUE,FALSE,43,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Northeast,Dem
lib_Demopp,"about $2,500 a month",neither,"about 100,000",M.A.,female,female,TRUE,vice president,neither approve nor disapprove,slightly prefer simple problem,a moderate amount,no preference,dislike a little,neither like nor dislike,relief and satisfaction to the,PA,1935,Demopp,FALSE,TRUE,TRUE,FALSE,73,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Northeast,Rep
lib_Demsupp,"about $1,500 a month",expand,"about 100,000",B.A.,male,Male,TRUE,Vice President,approve strongly,slightly prefer complex proble,a great deal,"slightly prefer big, long-term",dislike a little,like somewhat,somewhat more satisfied than r,MI,1985,Demsupp,TRUE,FALSE,FALSE,TRUE,23,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,Dem
con_nocue,about $500 a month,reduce,about 1 million,B.A.,female,female,TRUE,vice president,disapprove somewhat,no preference,a lot,no preference,neither like nor dislike,neither like nor dislike,somewhat more satisfied than r,NV,1953,nocue,FALSE,FALSE,TRUE,FALSE,55,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,Rep
con_Demsupp,"about $1,500 a month",reduce,about 1 million,12th,female,female,TRUE,Vice President,disapprove slightly,slightly prefer simple problem,a little,"slightly prefer small, daily p",dislike a lot,like a little,slightly more satisfied than r,CA,1970,Demsupp,TRUE,FALSE,TRUE,FALSE,38,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,West,Dem
lib_nocue,"about $1,000 a month",expand,"about 50,000",12th,female,Female,FALSE,NA,neither approve nor disapprove,somewhat prefer complex proble,a little,no preference,dislike a little,dislike a little,much more relieved than satisf,TX,1990,nocue,FALSE,FALSE,TRUE,FALSE,18,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,South,Dem
con_nocue,"about $1,000 a month",expand,"about 500,000",B.A.,female,f,TRUE,vp,approve slightly,somewhat prefer complex proble,a lot,no preference,like somewhat,like somewhat,relief and satisfaction to the,MO,1964,nocue,FALSE,FALSE,TRUE,FALSE,44,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,Dem
con_Demsupp,"about $1,000 a month",expand,"about 50,000",some college,female,female,TRUE,VP,approve slightly,slightly prefer simple problem,a little,"somewhat prefer small, daily p",dislike somewhat,dislike a little,relief and satisfaction to the,NY,1985,Demsupp,TRUE,FALSE,TRUE,FALSE,23,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Northeast,Rep
con_nocue,about $500 a month,reduce,"about 100,000",some college,male,male,TRUE,Vice President,disapprove slightly,slightly prefer complex proble,a moderate amount,"slightly prefer big, long-term",dislike a little,like somewhat,somewhat more satisfied than r,CO,1987,nocue,FALSE,FALSE,FALSE,TRUE,21,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,Dem
con_nocue,about $500 a month,reduce,"about 100,000",other advanced degree,female,Female,TRUE,Vice President,disapprove slightly,slightly prefer complex proble,a lot,no preference,like a little,like a lot,somewhat more satisfied than r,KY,1981,nocue,FALSE,FALSE,TRUE,FALSE,27,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,Rep
con_Demopp,about $500 a month,reduce,about 1 million,"M.B.A., M.D., or J.D.",male,male,TRUE,vice president,disapprove somewhat,slightly prefer simple problem,a great deal,"slightly prefer small, daily p",like somewhat,like a lot,relief and satisfaction to the,FL,1949,Demopp,FALSE,TRUE,FALSE,TRUE,59,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,Rep
lib_Demsupp,"about $2,000 a month",expand,"about 50,000",B.A.,female,female,TRUE,vice president,disapprove somewhat,slightly prefer complex proble,a lot,no preference,like somewhat,like somewhat,somewhat more satisfied than r,CA,1976,Demsupp,TRUE,FALSE,TRUE,FALSE,32,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,Rep
con_nocue,"about $1,000 a month",reduce,"about 100,000",12th,male,m,TRUE,vp,disapprove strongly,slightly prefer simple problem,a moderate amount,no preference,dislike a little,dislike a little,slightly more satisfied than r,FL,1939,nocue,FALSE,FALSE,FALSE,TRUE,69,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,South,Rep
con_Demopp,"about $1,000 a month",reduce,"about 50,000",12th,male,male,FALSE,NA,disapprove somewhat,no preference,a lot,"somewhat prefer small, daily p",dislike somewhat,like somewhat,slightly more relieved than sa,MI,1957,Demopp,FALSE,TRUE,FALSE,TRUE,51,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,North Central,Dem
lib_nocue,"about $2,500 a month",expand,"about 10,000",Associate's Degree,male,male,FALSE,secretary of state,approve somewhat,no preference,a lot,no preference,dislike a little,like a lot,slightly more relieved than sa,CA,1978,nocue,FALSE,FALSE,FALSE,TRUE,30,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,Dem
con_nocue,about $500 a month,reduce,about 1 million,M.A.,female,female,TRUE,Vice Preseident,disapprove strongly,no preference,a little,"greatly prefer small, daily pr",dislike a little,neither like nor dislike,slightly more relieved than sa,OR,1954,nocue,FALSE,FALSE,TRUE,FALSE,54,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,Dem
lib_nocue,"about $1,000 a month",expand,"about 50,000",12th,female,female,TRUE,vice president,approve strongly,slightly prefer simple problem,a lot,"somewhat prefer small, daily p",dislike a lot,dislike a little,relief and satisfaction to the,WA,1950,nocue,FALSE,FALSE,TRUE,FALSE,58,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,West,Dem
con_Demopp,"about $1,500 a month",neither,"about 100,000",some college,female,Female,TRUE,Vice President,disapprove strongly,greatly prefer complex problem,a great deal,NA,like a lot,like a lot,much more satisfied than relie,NY,1963,Demopp,FALSE,TRUE,TRUE,FALSE,45,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Northeast,Dem
lib_nocue,"about $1,000 a month",expand,"about 500,000",Associate's Degree,female,female,TRUE,vice president,neither approve nor disapprove,somewhat prefer simple problem,a lot,no preference,dislike somewhat,neither like nor dislike,much more relieved than satisf,CA,1961,nocue,FALSE,FALSE,TRUE,FALSE,47,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,Dem
lib_Demopp,"about $2,500 a month",neither,"about 50,000",M.A.,male,male,TRUE,Vice President and puppetmaster,approve strongly,slightly prefer complex proble,a lot,"somewhat prefer big, long-term",like somewhat,like somewhat,slightly more satisfied than r,AZ,1963,Demopp,FALSE,TRUE,FALSE,TRUE,45,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,Dem
lib_Demsupp,"about $2,500 a month",expand,about 1 million,Associate's Degree,male,male,TRUE,vice presidente crook,approve strongly,greatly prefer complex problem,a lot,NA,like somewhat,like a lot,much more satisfied than relie,MA,1950,Demsupp,TRUE,FALSE,FALSE,TRUE,58,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Northeast,Dem
lib_Demopp,"about $2,500 a month",expand,"about 100,000",B.A.,male,male,TRUE,Vice President,approve strongly,no preference,a lot,NA,like somewhat,like a lot,much more satisfied than relie,CA,1952,Demopp,FALSE,TRUE,FALSE,TRUE,56,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,Dem
con_nocue,about $500 a month,reduce,about 1 million,Ph.D.,male,male,TRUE,vp,disapprove somewhat,no preference,a lot,no preference,neither like nor dislike,neither like nor dislike,relief and satisfaction to the,OH,1938,nocue,FALSE,FALSE,FALSE,TRUE,70,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,Dem
lib_Demopp,"about $1,000 a month",expand,"about 100,000",some college,male,Male,TRUE,Vice President,approve slightly,slightly prefer simple problem,a moderate amount,no preference,dislike a little,neither like nor dislike,somewhat more relieved than sa,MD,1955,Demopp,FALSE,TRUE,FALSE,TRUE,53,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,Rep
con_Demopp,about $500 a month,reduce,"about 500,000",Associate's Degree,female,female,TRUE,Vice President,disapprove strongly,slightly prefer complex proble,a lot,"slightly prefer big, long-term",like a little,like a little,slightly more satisfied than r,NY,1928,Demopp,FALSE,TRUE,TRUE,FALSE,80,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Northeast,Dem
lib_Demopp,"about $2,500 a month",reduce,"about 500,000",12th,female,female,TRUE,vice president,neither approve nor disapprove,greatly prefer complex problem,a great deal,"somewhat prefer big, long-term",neither like nor dislike,like a lot,relief and satisfaction to the,TX,1932,Demopp,FALSE,TRUE,TRUE,FALSE,76,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,South,Rep
lib_Demsupp,"about $1,000 a month",expand,"about 500,000",some college,male,male,TRUE,vice president,approve somewhat,somewhat prefer complex proble,a lot,"somewhat prefer big, long-term",like somewhat,like somewhat,somewhat more satisfied than r,TX,1979,Demsupp,TRUE,FALSE,FALSE,TRUE,29,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,Rep
lib_Demopp,"about $2,500 a month",expand,about 1 million,Associate's Degree,male,male,TRUE,Vice President,disapprove somewhat,slightly prefer simple problem,a moderate amount,"slightly prefer small, daily p",dislike somewhat,like somewhat,relief and satisfaction to the,TX,1934,Demopp,FALSE,TRUE,FALSE,TRUE,74,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,Rep
con_nocue,"about $2,000 a month",reduce,"about 500,000",some college,male,m,TRUE,VP,approve somewhat,no preference,a moderate amount,no preference,neither like nor dislike,neither like nor dislike,relief and satisfaction to the,TX,1953,nocue,FALSE,FALSE,FALSE,TRUE,55,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,Rep
con_Demopp,"about $1,000 a month",reduce,"about 50,000",M.A.,male,male,TRUE,vp,disapprove strongly,slightly prefer simple problem,a moderate amount,"slightly prefer small, daily p",dislike a little,dislike a little,relief and satisfaction to the,NC,1950,Demopp,FALSE,TRUE,FALSE,TRUE,58,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,Dem
con_Demsupp,about $500 a month,reduce,"about 100,000",B.A.,female,female,TRUE,vice president,disapprove slightly,no preference,a moderate amount,"slightly prefer small, daily p",like a little,like a little,slightly more satisfied than r,NC,1976,Demsupp,TRUE,FALSE,TRUE,FALSE,32,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,Dem
con_Demsupp,"about $2,500 a month",reduce,"about 500,000",M.A.,male,m,TRUE,Vice President,approve strongly,slightly prefer complex proble,a great deal,"somewhat prefer small, daily p",like a little,like a lot,slightly more relieved than sa,MA,1979,Demsupp,TRUE,FALSE,FALSE,TRUE,29,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Northeast,Rep
con_Demopp,about $500 a month,neither,"about 100,000",B.A.,female,female,TRUE,Vice President,disapprove somewhat,slightly prefer simple problem,a moderate amount,"somewhat prefer big, long-term",neither like nor dislike,like a little,relief and satisfaction to the,WA,0,Demopp,FALSE,TRUE,TRUE,FALSE,2008,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,West,Rep
con_nocue,"about $1,500 a month",reduce,"about 100,000",some college,female,female,FALSE,senate,neither approve nor disapprove,greatly prefer simple problems,a lot,"greatly prefer small, daily pr",dislike a little,dislike a lot,much more relieved than satisf,NC,1988,nocue,FALSE,FALSE,TRUE,FALSE,20,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,Dem
lib_nocue,"about $2,000 a month",neither,"about 500,000",some college,male,male,TRUE,vice president,disapprove strongly,slightly prefer complex proble,a lot,"slightly prefer small, daily p",dislike somewhat,like somewhat,much more satisfied than relie,NY,1942,nocue,FALSE,FALSE,FALSE,TRUE,66,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Northeast,Rep
con_nocue,"about $1,000 a month",reduce,about 1 million,some college,female,Female,TRUE,Vice President,disapprove somewhat,slightly prefer complex proble,a moderate amount,"slightly prefer big, long-term",neither like nor dislike,like a little,relief and satisfaction to the,FL,1976,nocue,FALSE,FALSE,TRUE,FALSE,32,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,Dem
con_nocue,"about $1,000 a month",neither,"about 10,000",some college,female,Female,TRUE,vice president,disapprove strongly,slightly prefer complex proble,a moderate amount,"slightly prefer small, daily p",like a little,dislike a lot,much more satisfied than relie,MI,1972,nocue,FALSE,FALSE,TRUE,FALSE,36,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,Dem
lib_Demopp,"about $1,500 a month",expand,about 1 million,some college,female,female,TRUE,Vice President,disapprove slightly,somewhat prefer simple problem,a lot,"slightly prefer small, daily p",like somewhat,like somewhat,much more satisfied than relie,FL,1962,Demopp,FALSE,TRUE,TRUE,FALSE,46,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,Dem
con_Demsupp,about $500 a month,reduce,about 1 million,"M.B.A., M.D., or J.D.",male,male,TRUE,Vixw President,disapprove strongly,somewhat prefer complex proble,a moderate amount,"slightly prefer small, daily p",neither like nor dislike,like somewhat,slightly more satisfied than r,IN,1936,Demsupp,TRUE,FALSE,FALSE,TRUE,72,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,Rep
con_nocue,about $500 a month,reduce,"about 100,000",Associate's Degree,female,female,FALSE,NA,disapprove somewhat,slightly prefer simple problem,a moderate amount,"slightly prefer big, long-term",dislike a little,like somewhat,somewhat more satisfied than r,OH,1940,nocue,FALSE,FALSE,TRUE,FALSE,68,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,Dem
con_Demopp,"about $1,500 a month",neither,"about 50,000",12th,male,male,TRUE,vice president,approve slightly,greatly prefer simple problems,a great deal,"somewhat prefer big, long-term",dislike a lot,like a lot,much more satisfied than relie,GA,1974,Demopp,FALSE,TRUE,FALSE,TRUE,34,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,South,Dem
con_nocue,"about $2,000 a month",reduce,"about 100,000",B.A.,male,male,TRUE,vice president,disapprove strongly,no preference,a great deal,no preference,neither like nor dislike,neither like nor dislike,much more satisfied than relie,MI,1954,nocue,FALSE,FALSE,FALSE,TRUE,54,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,Dem
con_Demsupp,"about $1,500 a month",reduce,about 1 million,some college,male,male,TRUE,vice president,disapprove slightly,slightly prefer simple problem,a little,"slightly prefer small, daily p",dislike somewhat,neither like nor dislike,slightly more relieved than sa,OH,1961,Demsupp,TRUE,FALSE,FALSE,TRUE,47,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,Dem
lib_Demsupp,"about $1,500 a month",expand,"about 100,000",B.A.,female,female,TRUE,VP,disapprove slightly,slightly prefer complex proble,a great deal,"somewhat prefer big, long-term",like somewhat,like somewhat,somewhat more satisfied than r,KY,1956,Demsupp,TRUE,FALSE,TRUE,FALSE,52,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,Rep
con_nocue,"about $1,000 a month",expand,"about 10,000",B.A.,female,female,FALSE,NA,disapprove strongly,no preference,a moderate amount,"greatly prefer small, daily pr",dislike somewhat,neither like nor dislike,relief and satisfaction to the,FL,1982,nocue,FALSE,FALSE,TRUE,FALSE,26,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,Dem
lib_nocue,"about $2,000 a month",neither,"about 100,000",M.A.,female,female,TRUE,Vice President,disapprove slightly,slightly prefer complex proble,a lot,"slightly prefer big, long-term",like a little,like somewhat,relief and satisfaction to the,IN,1940,nocue,FALSE,FALSE,TRUE,FALSE,68,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,Rep
con_Demsupp,"about $2,500 a month",expand,"about 500,000",some college,male,Male,FALSE,=,neither approve nor disapprove,slightly prefer complex proble,a lot,no preference,like somewhat,dislike a little,relief and satisfaction to the,NC,0,Demsupp,TRUE,FALSE,FALSE,TRUE,2008,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,South,Dem
lib_nocue,"about $2,000 a month",expand,"about 100,000",12th,female,female,TRUE,vice president,disapprove strongly,no preference,a moderate amount,no preference,neither like nor dislike,neither like nor dislike,relief and satisfaction to the,PA,1939,nocue,FALSE,FALSE,TRUE,FALSE,69,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Northeast,Rep
con_Demsupp,about $500 a month,reduce,about 1 million,some college,male,male,TRUE,vice president,disapprove strongly,slightly prefer simple problem,a lot,no preference,dislike a little,neither like nor dislike,relief and satisfaction to the,NY,1974,Demsupp,TRUE,FALSE,FALSE,TRUE,34,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Northeast,Dem
con_Demsupp,about $500 a month,reduce,about 1 million,some college,male,male,TRUE,vice president,neither approve nor disapprove,somewhat prefer complex proble,a great deal,"slightly prefer big, long-term",dislike somewhat,neither like nor dislike,somewhat more satisfied than r,TN,1954,Demsupp,TRUE,FALSE,FALSE,TRUE,54,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,Dem
lib_nocue,"about $2,500 a month",neither,about 1 million,some college,male,Male,TRUE,VP,neither approve nor disapprove,somewhat prefer simple problem,a little,"somewhat prefer small, daily p",dislike somewhat,dislike somewhat,somewhat more relieved than sa,MI,1950,nocue,FALSE,FALSE,FALSE,TRUE,58,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,Rep
lib_nocue,"about $1,500 a month",reduce,"about 100,000",Associate's Degree,male,m,TRUE,vice presdient,disapprove strongly,slightly prefer complex proble,a moderate amount,no preference,like somewhat,like somewhat,slightly more satisfied than r,KS,1976,nocue,FALSE,FALSE,FALSE,TRUE,32,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,Rep
con_Demsupp,"about $1,000 a month",expand,"about 100,000",some college,male,male,TRUE,vice president,approve slightly,slightly prefer complex proble,a moderate amount,"somewhat prefer big, long-term",like a little,like a little,slightly more relieved than sa,TX,1966,Demsupp,TRUE,FALSE,FALSE,TRUE,42,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,Dem
con_nocue,"about $1,000 a month",reduce,"about 500,000",some college,male,male,TRUE,vice-president,disapprove strongly,no preference,a great deal,no preference,like a lot,like a lot,relief and satisfaction to the,CA,1948,nocue,FALSE,FALSE,FALSE,TRUE,60,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,Dem
lib_Demsupp,"about $2,500 a month",neither,about 1 million,Associate's Degree,female,Female,TRUE,Vice President,disapprove strongly,slightly prefer simple problem,a lot,"slightly prefer big, long-term",neither like nor dislike,like a little,slightly more satisfied than r,NM,1976,Demsupp,TRUE,FALSE,TRUE,FALSE,32,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,Rep
con_nocue,"about $1,500 a month",reduce,"about 50,000",12th,male,male,TRUE,vice-president,disapprove strongly,slightly prefer complex proble,a lot,"slightly prefer big, long-term",like somewhat,like a lot,somewhat more satisfied than r,UT,1957,nocue,FALSE,FALSE,FALSE,TRUE,51,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,West,Dem
con_Demsupp,about $500 a month,reduce,"about 500,000",some college,female,Female,TRUE,Vice President,disapprove slightly,slightly prefer complex proble,a moderate amount,"slightly prefer small, daily p",dislike somewhat,dislike a little,slightly more satisfied than r,CO,1967,Demsupp,TRUE,FALSE,TRUE,FALSE,41,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,Rep
con_Demsupp,"about $2,000 a month",neither,"about 500,000",some college,male,male,TRUE,Vice President,neither approve nor disapprove,no preference,a little,no preference,dislike a lot,neither like nor dislike,relief and satisfaction to the,PA,1955,Demsupp,TRUE,FALSE,FALSE,TRUE,53,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Northeast,Dem
con_Demopp,about $500 a month,reduce,"about 100,000",M.A.,male,Male,TRUE,Vice President of the U.S.,disapprove strongly,slightly prefer complex proble,a moderate amount,"slightly prefer small, daily p",neither like nor dislike,like a little,relief and satisfaction to the,TX,1950,Demopp,FALSE,TRUE,FALSE,TRUE,58,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,Dem
con_Demsupp,about $500 a month,reduce,"about 500,000",M.A.,female,female,TRUE,Vice-President,disapprove strongly,somewhat prefer complex proble,a great deal,NA,like somewhat,like a lot,much more satisfied than relie,IA,1963,Demsupp,TRUE,FALSE,TRUE,FALSE,45,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,Rep
lib_Demopp,"about $2,500 a month",expand,about 1 million,some college,male,male,TRUE,VP,disapprove strongly,no preference,a great deal,no preference,neither like nor dislike,like a lot,somewhat more satisfied than r,RI,1935,Demopp,FALSE,TRUE,FALSE,TRUE,73,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Northeast,Dem
