"year"	"title"	"url"	"docket_number"	"vote"	"argument_link"	"opinion_link"	"mp3_link"	"transcript_link"	"transcript"	"mp3"
1990	"Business Guides v. Chromatic Comm. Enterprises"	"/cases/1990-1999/1990/1990_89_1500"	"89-1500"	"5-4"	NA	"/transcripts/1990/1990_89_1500_opinion.xml"	"/api/media/sites/default/files/audio/cases/1990/89-1500_19901126-argument.mp3"	"/transcripts/1990/transcript_189.xml"	1	1
1990	"California v. Acevedo"	"/cases/1990-1999/1990/1990_89_1690"	"89-1690"	"6-3"	"/transcripts/1990/1990_89_1690_argument.xml"	"/transcripts/1990/1990_89_1690_opinion.xml"	"/api/media/sites/default/files/audio/cases/1990/89-1690_19910108-argument.mp3"	"/transcripts/1990/1990_89_1690_argument.xml"	1	1
1990	"California v. Hodari D."	"/cases/1990-1999/1990/1990_89_1632"	"89-1632"	"7-2"	NA	"/transcripts/1990/1990_89_1632_opinion.xml"	"/api/media/sites/default/files/audio/cases/1990/89-1632_19910114-argument.mp3"	"/transcripts/1990/transcript_167.xml"	1	1
1990	"Carnival Cruise Lines, Inc. v. Shute"	"/cases/1990-1999/1990/1990_89_1647"	"89-1647"	"7-2"	NA	"/transcripts/1990/1990_89_1647_opinion.xml"	"/api/media/sites/default/files/audio/cases/1990/89-1647_19910115-argument.mp3"	"/transcripts/1990/transcript_161.xml"	1	1
1990	"Chambers v. Nasco, Inc."	"/cases/1990-1999/1990/1990_90_256"	"90-256"	"5-4"	NA	"/transcripts/1990/1990_90_256_opinion.xml"	"/api/media/sites/default/files/audio/cases/1990/90-256_19910227-argument.mp3"	"/transcripts/1990/transcript_144.xml"	1	1
1990	"Chapman v. United States"	"/cases/1990-1999/1990/1990_90_5744"	"90-5744"	"7-2"	NA	"/transcripts/1990/1990_90_5744_opinion.xml"	"/api/media/sites/default/files/audio/cases/1990/90-5744_19910326-argument.mp3"	"/transcripts/1990/transcript_133.xml"	1	1
1990	"Cheek v. United States"	"/cases/1990-1999/1990/1990_89_658"	"89-658"	"6-2"	NA	"/transcripts/1990/1990_89_658_opinion.xml"	"/api/media/sites/default/files/audio/cases/1990/89-658_19901003-argument.mp3"	"/transcripts/1990/transcript_217.xml"	0	0
1990	"Chisom v. Roemer"	"/cases/1990-1999/1990/1990_90_757"	"90-757"	"6-3"	NA	"/transcripts/1990/1990_90_757_opinion.xml"	"/api/media/sites/default/files/audio/cases/1990/90-757_19910422-argument.mp3"	"/transcripts/1990/transcript_119.xml"	1	1
1990	"Clark v. Roemer"	"/cases/1990-1999/1990/1990_90_952"	"90-952"	"9-0"	NA	"/transcripts/1990/1990_90_952_opinion.xml"	"/api/media/sites/default/files/audio/cases/1990/90-952_19910422-argument.mp3"	"/transcripts/1990/transcript_118.xml"	1	1
1990	"Cohen v. Cowles Media Co."	"/cases/1990-1999/1990/1990_90_634"	"90-634"	"5-4"	NA	"/transcripts/1990/1990_90_634_opinion.xml"	"/api/media/sites/default/files/audio/cases/1990/90-634_19910327-argument.mp3"	"/transcripts/1990/transcript_131.xml"	1	1
1990	"Coleman v. Thompson"	"/cases/1990-1999/1990/1990_89_7662"	"89-7662"	"6-3"	NA	"/transcripts/1990/1990_89_7662_opinion.xml"	"/api/media/sites/default/files/audio/cases/1990/89-7662_19910225-argument.mp3"	"/transcripts/1990/transcript_151.xml"	1	1
1990	"Columbia v. Omni Outdoor Advertising, Inc."	"/cases/1990-1999/1990/1990_89_1671"	"89-1671"	"6-3"	NA	"/transcripts/1990/1990_89_1671_opinion.xml"	"/api/media/sites/default/files/audio/cases/1990/89-1671_19901128-argument.mp3"	"/transcripts/1990/transcript_181.xml"	1	1
1990	"Connecticut v. Doehr"	"/cases/1990-1999/1990/1990_90_143"	"90-143"	"9-0"	NA	"/transcripts/1990/1990_90_143_opinion.xml"	"/api/media/sites/default/files/audio/cases/1990/90-143_19910107-argument.mp3"	"/transcripts/1990/transcript_177.xml"	1	1
1990	"Cottage Savings Assoc. v. Commissioner of Internal Revenue"	"/cases/1990-1999/1990/1990_89_1965"	"89-1965"	"7-2"	NA	"/transcripts/1990/1990_89_1965_opinion.xml"	"/api/media/sites/default/files/audio/cases/1990/89-1965_19910115-argument.mp3"	"/transcripts/1990/transcript_160.xml"	1	1
1990	"Demarest v. Manspeaker"	"/cases/1990-1999/1990/1990_89_5916"	"89-5916"	"9-0"	NA	"/transcripts/1990/1990_89_5916_opinion.xml"	"/api/media/sites/default/files/audio/cases/1990/89-5916_19901106-argument.mp3"	"/transcripts/1990/transcript_192.xml"	1	1
1990	"Dennis v. Higgins"	"/cases/1990-1999/1990/1990_89_1555"	"89-1555"	"7-2"	NA	"/transcripts/1990/1990_89_1555_opinion.xml"	"/api/media/sites/default/files/audio/cases/1990/89-1555_19901031-argument.mp3"	"/transcripts/1990/transcript_199.xml"	1	1
1990	"Eastern Airlines, Inc. v. Floyd"	"/cases/1990-1999/1990/1990_89_1598"	"89-1598"	"9-0"	NA	"/transcripts/1990/1990_89_1598_opinion.xml"	"/api/media/sites/default/files/audio/cases/1990/89-1598_19901029-argument.mp3"	"/transcripts/1990/transcript_207.xml"	1	1
1990	"Edmonson v. Leesville Concrete Co."	"/cases/1990-1999/1990/1990_89_7743"	"89-7743"	"6-3"	NA	"/transcripts/1990/1990_89_7743_opinion.xml"	"/api/media/sites/default/files/audio/cases/1990/89-7743_19910115-argument.mp3"	"/transcripts/1990/transcript_162.xml"	1	1
1990	"EEOC v. Arabian American Oil Co."	"/cases/1990-1999/1990/1990_89_1838"	"89-1838"	"6-3"	NA	"/transcripts/1990/1990_89_1838_opinion.xml"	"/api/media/sites/default/files/audio/cases/1990/89-1838_19910116-argument.mp3"	"/transcripts/1990/transcript_158.xml"	1	1
1990	"Exxon Corp. v. Central Gulf Lines, Inc."	"/cases/1990-1999/1990/1990_90_34"	"90-34"	"9-0"	NA	"/transcripts/1990/1990_90_34_opinion.xml"	"/api/media/sites/default/files/audio/cases/1990/90-34_19910415-argument.mp3"	"/transcripts/1990/transcript_128.xml"	1	1
1990	"Farrey v. Sanderfoot"	"/cases/1990-1999/1990/1990_90_350"	"90-350"	"9-0"	NA	"/transcripts/1990/1990_90_350_opinion.xml"	"/api/media/sites/default/files/audio/cases/1990/90-350_19910325-argument.mp3"	"/transcripts/1990/transcript_134.xml"	1	1
1990	"Feist Publications v. Rural Tel. Serv. Co."	"/cases/1990-1999/1990/1990_89_1909"	"89-1909"	"9-0"	NA	"/transcripts/1990/1990_89_1909_opinion.xml"	"/api/media/sites/default/files/audio/cases/1990/89-1909_19910109-argument.mp3"	"/transcripts/1990/transcript_169.xml"	1	1
1990	"Firstier Mtge. Co. v. Investors Mtge. Ins. Co."	"/cases/1990-1999/1990/1990_89_1063"	"89-1063"	"9-0"	NA	"/transcripts/1990/1990_89_1063_opinion.xml"	"/api/media/sites/default/files/audio/cases/1990/89-1063_19901010-argument.mp3"	"/transcripts/1990/transcript_211.xml"	1	1
1990	"Florida v. Bostick"	"/cases/1990-1999/1990/1990_89_1717"	"89-1717"	"6-3"	NA	"/transcripts/1990/1990_89_1717_opinion.xml"	"/api/media/sites/default/files/audio/cases/1990/89-1717_19910226-argument.mp3"	"/transcripts/1990/transcript_147.xml"	1	1
1990	"Florida v. Jimeno"	"/cases/1990-1999/1990/1990_90_622"	"90-622"	"7-2"	NA	"/transcripts/1990/1990_90_622_opinion.xml"	"/api/media/sites/default/files/audio/cases/1990/90-622_19910325-argument.mp3"	"/transcripts/1990/transcript_136.xml"	1	1
1990	"FMC Corp. v. Holliday"	"/cases/1990-1999/1990/1990_89_1048"	"89-1048"	"7-1"	NA	"/transcripts/1990/1990_89_1048_opinion.xml"	"/api/media/sites/default/files/audio/cases/1990/89-1048_19901002-argument.mp3"	"/transcripts/1990/transcript_222.xml"	1	1
1990	"Ford Motor Credit Co. v. Department Of Revenue, Florida"	"/cases/1990-1999/1990/1990_88_1847"	"88-1847"	"4-4"	NA	"/transcripts/1990/1990_88_1847_opinion.xml"	"/api/media/sites/default/files/audio/cases/1990/88-1847_19901106-argument.mp3"	"/transcripts/1990/transcript_193.xml"	1	1
1990	"Ford v. Georgia"	"/cases/1990-1999/1990/1990_87_6796"	"87-6796"	"9-0"	NA	"/transcripts/1990/1990_87_6796_opinion.xml"	"/api/media/sites/default/files/audio/cases/1990/87-6796_19901106-argument.mp3"	"/transcripts/1990/transcript_194.xml"	1	1
1990	"Freytag v. Commissioner of Internal Revenue"	"/cases/1990-1999/1990/1990_90_762"	"90-762"	"9-0"	NA	"/transcripts/1990/1990_90_762_opinion.xml"	"/api/media/sites/default/files/audio/cases/1990/90-762_19910423-argument.mp3"	"/transcripts/1990/transcript_115.xml"	1	1
1990	"Gentile v. State Bar Of Nevada"	"/cases/1990-1999/1990/1990_89_1836"	"89-1836"	"5-4"	NA	"/transcripts/1990/1990_89_1836_opinion.xml"	"/api/media/sites/default/files/audio/cases/1990/89-1836_19910415-argument.mp3"	"/transcripts/1990/transcript_126.xml"	1	1
1990	"Gilmer v. Interstate/Johnson Lane Corp."	"/cases/1990-1999/1990/1990_90_18"	"90-18"	"7-2"	NA	"/transcripts/1990/1990_90_18_opinion.xml"	"/api/media/sites/default/files/audio/cases/1990/90-18_19910114-argument.mp3"	"/transcripts/1990/transcript_165.xml"	1	1
1990	"Gollust v. Mendell"	"/cases/1990-1999/1990/1990_90_659"	"90-659"	"9-0"	NA	"/transcripts/1990/1990_90_659_opinion.xml"	"/api/media/sites/default/files/audio/cases/1990/90-659_19910415-argument.mp3"	"/transcripts/1990/transcript_129.xml"	1	1
1990	"Gozlon-Peretz v. United States"	"/cases/1990-1999/1990/1990_89_7370"	"89-7370"	"9-0"	NA	"/transcripts/1990/1990_89_7370_opinion.xml"	"/api/media/sites/default/files/audio/cases/1990/89-7370_19901030-argument.mp3"	"/transcripts/1990/transcript_202.xml"	1	1
1990	"Gregory v. Ashcroft"	"/cases/1990-1999/1990/1990_90_50"	"90-50"	"7-2"	NA	"/transcripts/1990/1990_90_50_opinion.xml"	"/api/media/sites/default/files/audio/cases/1990/90-50_19910318-argument.mp3"	"/transcripts/1990/transcript_141.xml"	1	1
1990	"Grogan v. Garner"	"/cases/1990-1999/1990/1990_89_1149"	"89-1149"	"9-0"	NA	"/transcripts/1990/1990_89_1149_opinion.xml"	"/api/media/sites/default/files/audio/cases/1990/89-1149_19901029-argument.mp3"	"/transcripts/1990/transcript_204.xml"	1	1
1990	"Groves v. Ring Screw Works, Ferndale Di"	"/cases/1990-1999/1990/1990_89_1166"	"89-1166"	"9-0"	NA	"/transcripts/1990/1990_89_1166_opinion.xml"	"/api/media/sites/default/files/audio/cases/1990/89-1166_19901010-argument.mp3"	"/transcripts/1990/transcript_209.xml"	1	1
1990	"Harmelin v. Michigan"	"/cases/1990-1999/1990/1990_89_7272"	"89-7272"	"5-4"	NA	"/transcripts/1990/1990_89_7272_opinion.xml"	"/api/media/sites/default/files/audio/cases/1990/89-7272_19901105-argument.mp3"	"/transcripts/1990/transcript_198.xml"	1	1
