fast	extraction amount	cooperation =(20-extraction)/20	timeDEC	inTime	experienced	L_numStudies	gender	age	ed	social_cons	fiscal_cons	god	failedComp
1	20	0	7.499	1	1	2.954725	1	23	5	2	2	4	0
0	20	0	11.1	1	1	2.004321	1	34	5	5	5	10	1
0	20	0	18.407	1	1	2.545307	1	26	5	1	2	1	0
1	0	1	3.949	1	1	2.654176	2	32	6	2	2	1	0
0	5	0.75	21.328	1	1	2.004321	1	20	4	4	4	1	1
1	0	1	4.898	1	1	1.612784	1	30	6	2	3	3	0
0	15	0.25	11.523	1	1	1.041393	2	25	5	3	3	1	0
0	15	0.25	13.383	1	1	3.477266	1	30	3	1	1	1	0
0	0	1	13.217	1	1	2.699838	1	29	5	1	6	7	0
0	20	0	12.833	1	1	3.000434	2	21	5	5	5	1	0
0	20	0	14.065	1	1	2.004321	1	24	4	1	6	1	0
0	0	1	12.316	1	1	2.004321	1	19	2	3	3	7	1
0	0	1	22.431	1	1	3.699057	1	25	5	3	3	1	0
0	20	0	14.466	1	1	2.382017	1	23	5	2	4	1	0
0	0	1	39.722	1	1	1.70757	2	28	5	2	3	2	1
0	0	1	22.13	1	1	3.431525	1	22	5	3	5	1	0
0	15	0.25	22.409	1	1	2.699838	1	25	2	4	5	6	1
1	20	0	7.773	1	0	2.394452	1	18	2	7	5	1	0
0	10	0.5	28.026	1	0	0	1	21	4	1	2	1	0
1	5	0.75	3.322	1	1	2.545307	2	24	4	1	1	1	0
0	0	1	15.75	1	1	2.478566	2	48	4	6	6	3	0
1	0	1	7.081	1	1	3.301247	2	49	4	3	4	1	0
0	10	0.5	21.177	1	1	2.699838	1	35	2	6	7	10	0
0	0	1	25.165	1	1	3.954291	2	34	4	2	3	1	0
0	10	0.5	22.876	1	0	1.612784	1	30	4	1	6	1	0
0	20	0	11.505	1	1	2.545307	2	22	5	1	4	1	0
0	0	1	47.419	1	1	2.603144	2	57	5	4	3	9	0
1	0	1	4.8	1	0	2.004321	1	20	4	5	6	10	0
0	5	0.75	22.29	1	0	1.491362	1	20	4	2	3	1	0
0	10	0.5	13.298	1	0	1.041393	2	27	4	1	4	1	0
1	10	0.5	5.041	1	1	2.206826	1	23	4	3	5	10	0
1	0	1	7.398	1	1	2.478566	2	39	5	7	5	10	0
1	20	0	6.068	1	1	2.478566	1	19	2	6	2	10	0
0	0	1	11.604	1	1	3.954291	2	25	4	2	2	1	0
0	10	0.5	15.787	1	1	1.70757	1	25	5	2	6	7	0
0	0	1	22.746	1	1	2.303196	1	32	5	2	4	1	0
0	20	0	20.171	1	0	2.004321	2	26	1	4	4	5	0
1	5	0.75	12.011	0	0	0	2	42	6	3	4	3	0
0	6	0.7	14.923	1	1	2.303196	1	22	2	2	3	3	0
0	20	0	16.48	1	1	2.478566	2	20	2	2	6	3	0
0	1	0.95	14.391	1	1	2.178977	1	25	5	6	6	10	1
1	10	0.5	5.614	1	1	2.813581	1	35	6	1	4	3	0
0	10	0.5	38.808	1	0	1.70757	1	24	4	2	3	1	0
1	20	0	5.406	1	1	2.382017	1	34	4	1	1	1	0
1	20	0	5.311	1	0	1.908485	1	21	4	5	5	1	0
0	20	0	142.12	1	1	2.303196	1	22	4	3	5	2	0
1	20	0	4.214	1	0	3.041787	1	20	5	2	2	1	0
0	17	0.15	26.977	1	1	2.082785	1	29	3	3	5	8	0
1	20	0	4.357	1	1	2.399674	1	18	4	1	5	1	0
1	0	1	3.648	1	1	2.954725	1	18	4	3	5	1	0
0	0	1	10.464	1	1	3.778224	1	27	4	4	7	10	0
1	10	0.5	5.266	1	1	3.204391	2	29	5	1	1	2	0
1	0	1	3.337	1	0	3.176381	2	20	5	4	4	2	1
0	20	0	150.449	1	0	0.69897	2	33	2	4	4	10	1
1	20	0	9.027	0	1	3.000434	1	20	4	6	6	10	0
0	20	0	12.595	1	1	3.176381	1	23	5	4	5	1	0
0	20	0	22.106	1	0	1.908485	2	28	5	1	4	3	0
1	0	1	5.601	1	0	0.4771213	1	35	5	5	3	1	0
0	6	0.7	1.837	0	1	0	1	22	4	3	4	9	1
1	20	0	10.006	0	0	2.004321	2	24	2	5	2	9	0
0	20	0	20.104	1	0	2.344392	1	24	4	2	2	5	0
1	20	0	6.119	1	1	2.864511	1	22	4	4	4	10	0
1	10	0.5	7.299	1	1	1.70757	2	36	6	2	2	8	0
1	20	0	5.477	1	1	1.880814	2	32	4	2	6	7	0
0	0	1	11.992	1	0	1.230449	1	26	5	3	4	1	0
1	0	1	5.513	1	0	1.880814	1	20	2	2	3	1	1
0	0	1	15.259	1	1	1.70757	2	28	2	3	5	4	0
1	0	1	6.558	1	0	2.399674	2	31	5	2	5	1	0
0	10	0.5	33.07	1	1	2.478566	2	20	5	1	4	1	0
0	20	0	23.435	1	0	0	1	19	2	1	3	1	1
1	0	1	7.979	1	1	0.30103	2	38	5	4	6	1	0
1	0	1	6.841	1	1	1.70757	1	38	4	3	3	5	0
0	0	1	19.027	1	1	2.778874	1	18	2	4	4	5	0
0	20	0	13.758	1	0	1.799341	1	27	5	5	3	5	0
1	10	0.5	9.705	0	1	2.303196	1	27	6	1	3	1	0
0	8	0.6	9.31	0	0	1.70757	1	24	4	2	3	8	0
0	20	0	17.06	1	0	1.70757	1	29	5	5	5	8	0
1	20	0	6.856	1	1	1.70757	1	27	5	1	2	2	0
1	0	1	6.483	1	1	1.431364	1	24	4	4	4	5	0
1	20	0	5.078	1	1	1.041393	1	27	5	4	4	10	0
0	20	0	30.232	1	0	1.491362	1	38	4	3	7	10	0
0	0	1	46.283	1	0	0.7781513	2	23	4	3	3	5	0
1	20	0	7.818	1	1	2.699838	1	40	5	3	3	8	0
1	0	1	7.07	1	0	1.041393	2	21	5	2	4	6	0
0	20	0	12.458	1	0	0	2	33	5	1	1	10	1
0	0	1	11.513	1	0	1.70757	1	29	5	2	5	9	0
1	13	0.35	6.029	1	1	1.491362	2	26	5	2	7	8	0
0	0	1	14.993	1	0	1.041393	1	29	6	5	7	10	0
0	0	1	13.837	1	1	2.537819	2	22	5	2	3	1	0
0	0	1	13.908	1	0	1.612784	1	33	5	2	5	9	0
0	20	0	19.133	1	1	1.041393	1	28	2	5	4	2	1
1	0	1	6.102	1	0	0.69897	1	27	2	4	3	10	0
1	9	0.55	7.736	1	0	1.78533	1	29	5	2	6	8	0
0	20	0	10.906	1	0	1.322219	2	21	4	4	4	4	1
